date,close,volume,open,high,low
"2019/01/09",153.3100,45034370.0000,151.2900,154.5300,149.6300
"2019/01/08",150.7500,40622910.0000,149.5600,151.8200,148.5200
"2019/01/07",147.9300,54571440.0000,148.7000,148.8300,145.9000
"2019/01/04",148.2600,57423650.0000,144.5300,148.5499,143.8000
"2019/01/03",142.1900,91106840.0000,143.9800,145.7200,142.0000
"2019/01/02",157.9200,35637070.0000,154.8900,158.8500,154.2300
"2018/12/31",157.7400,34499390.0000,158.5300,159.3600,156.4800
"2018/12/28",156.2300,41740600.0000,157.5000,158.5200,154.5500
"2018/12/27",156.1500,51608850.0000,155.8400,156.7700,150.0700
"2018/12/26",157.1700,58133850.0000,148.3000,157.2300,146.7200
"2018/12/24",146.8300,37169230.0000,148.1500,151.5500,146.5900
"2018/12/21",150.7300,95497900.0000,156.8600,158.1600,149.6300
"2018/12/20",156.8300,64398230.0000,160.4000,162.1100,155.3000
"2018/12/19",160.8900,47597670.0000,166.0000,167.4500,159.0900
"2018/12/18",166.0700,33753490.0000,165.3800,167.5300,164.3900
"2018/12/17",163.9400,43250420.0000,165.4500,168.3500,162.7300
"2018/12/14",165.4800,40620360.0000,169.0000,169.0800,165.2800
"2018/12/13",170.9500,31754210.0000,170.4900,172.5700,169.5500
"2018/12/12",169.1000,35474680.0000,170.4000,171.9200,169.0200
"2018/12/11",168.6300,45968040.0000,171.6600,171.7900,167.0000
"2018/12/10",169.6000,61759000.0000,165.0000,170.0900,163.3300
"2018/12/07",168.4900,41678680.0000,173.4900,174.4900,168.3000
"2018/12/06",174.7200,42704910.0000,171.7600,174.7800,170.4200
"2018/12/04",176.6900,41141250.0000,180.9500,182.3899,176.2700
"2018/12/03",184.8200,40537700.0000,184.4600,184.9400,181.2100
"2018/11/30",178.5800,39424260.0000,180.2900,180.3300,177.0300
"2018/11/29",179.5500,41523580.0000,182.6600,182.8000,177.7000
"2018/11/28",180.9400,45941750.0000,176.7300,181.2900,174.9300
"2018/11/27",174.2400,41156140.0000,171.5100,174.7700,170.8800
"2018/11/26",174.6200,44662320.0000,174.2400,174.9500,170.2600
"2018/11/23",172.2900,23623970.0000,174.9400,176.5950,172.1000
"2018/11/21",176.7800,31096240.0000,179.7300,180.2700,176.5500
"2018/11/20",176.9800,67678680.0000,178.3700,181.4700,175.5100
"2018/11/19",185.8600,41626820.0000,190.0000,190.7000,184.9900
"2018/11/16",193.5300,36191330.0000,190.5000,194.9695,189.4600
"2018/11/15",191.4100,46271660.0000,188.3900,191.9700,186.9000
"2018/11/14",186.8000,60547340.0000,193.9000,194.4800,185.9300
"2018/11/13",192.2300,46725710.0000,191.6300,197.1800,191.4501
"2018/11/12",194.1700,50991030.0000,199.0000,199.8500,193.7900
"2018/11/09",204.4700,34317760.0000,205.5500,206.0100,202.2500
"2018/11/08",208.4900,25289270.0000,209.9800,210.1200,206.7500
"2018/11/07",209.9500,33291640.0000,205.9700,210.0600,204.1300
"2018/11/06",203.7700,31774720.0000,201.9200,204.7200,201.6900
"2018/11/05",201.5900,66072170.0000,204.3000,204.3900,198.1700
"2018/11/02",207.4800,91046560.0000,209.5500,213.6500,205.4300
"2018/11/01",222.2200,52954070.0000,219.0500,222.3600,216.8100
"2018/10/31",218.8600,38016810.0000,216.8800,220.4500,216.6200
"2018/10/30",213.3000,36487930.0000,211.1500,215.1800,209.2700
"2018/10/29",212.2400,45713690.0000,219.1900,219.6900,206.0900
"2018/10/26",216.3000,47191700.0000,215.9000,220.1900,212.6700
"2018/10/25",219.8000,29027340.0000,217.7100,221.3800,216.7500
"2018/10/24",215.0900,39992120.0000,222.6000,224.2300,214.5400
"2018/10/23",222.7300,38681170.0000,215.8300,223.2500,214.7000
"2018/10/22",220.6500,28751540.0000,219.7900,223.3600,218.9400
"2018/10/19",219.3100,32874330.0000,218.0600,221.2600,217.4300
"2018/10/18",216.0200,32389280.0000,217.8600,219.7400,213.0000
"2018/10/17",221.1900,22692880.0000,222.3000,222.6400,219.3400
"2018/10/16",222.1500,28802550.0000,218.9300,222.9900,216.7627
"2018/10/15",217.3600,30280450.0000,221.1600,221.8300,217.2700
"2018/10/12",222.1100,39494770.0000,220.4200,222.8800,216.8400
"2018/10/11",214.4500,52902320.0000,214.5200,219.5000,212.3200
"2018/10/10",216.3600,41084070.0000,225.4600,226.3500,216.0500
"2018/10/09",226.8700,26656630.0000,223.6400,227.2700,222.2462
